Date,Year,Month,RV_Stocks,   D-P,         E-P,         MKT,        SMB,        HML,        STR,        T-B,        RTB,        LTR,         RBR,        T-S,        DEF,        INFM
192612,1926,12,0.02474845,-2.97301235,-2.38683729,0.0277,-0.0001,-0.001,0.0232,0.0307,-0.00199167,0.0078,-0.00161667,0.0047,0.01,0
192701,1927,1,0.02347166,-2.9423745,-2.37477329,-0.0011,-0.003,0.0479,-0.0192,0.0323,-0.000025,0.0075,-0.0017,0.0028,0.0095,-0.0075902
192702,1927,2,0.01910386,-2.97953469,-2.43035278,0.0432,-0.0024,0.0335,-0.0137,0.0329,0.00079167,0.0088,-0.00190833,0.0018,0.0092,-0.0076482
192703,1927,3,0.03324907,-2.9765351,-2.44507869,0.0032,-0.0187,-0.0258,-0.0358,0.032,-0.0002,0.0253,-0.0033,0.0011,0.0092,-0.0057748
192704,1927,4,0.0249546,-2.98422499,-2.47130863,0.0041,0.0029,0.0095,-0.0302,0.0339,0.00165,-0.0005,-0.00276667,-0.0006,0.009,0
192705,1927,5,0.02237693,-3.02596333,-2.53144583,0.0539,0.0153,0.0507,-0.0125,0.0333,0.00079167,0.0109,-0.003075,-0.0006,0.0093,0.0076923
192706,1927,6,0.03245914,-3.00730884,-2.53132995,-0.023,0.0065,-0.0204,-0.005,0.0307,-0.00194167,-0.0069,-0.002025,0.0027,0.0097,0.009533
192707,1927,7,0.02184122,-3.06114424,-2.60370737,0.0727,-0.0354,-0.0086,-0.0064,0.0296,-0.00315833,0.005,-0.00184167,0.0037,0.0095,-0.0191577
192708,1927,8,0.03830898,-3.09576448,-2.65674169,0.0242,-0.0075,-0.0414,-0.0151,0.027,-0.00563333,0.0076,-0.00193333,0.0059,0.0092,-0.0058196
192709,1927,9,0.03605547,-3.12909699,-2.70775853,0.0469,-0.0344,-0.0108,-0.0059,0.0268,-0.00535833,0.0018,-0.00146667,0.0062,0.0088,0.0058196
192710,1927,10,0.04668064,-3.06564979,-2.6628754,-0.0444,0.0204,-0.0445,-0.0326,0.0308,-0.00074167,0.0099,-0.00161667,0.0017,0.0087,0.0057859
192711,1927,11,0.03259051,-3.12254324,-2.73821796,0.0666,0.0256,-0.0002,0.0433,0.0304,-0.000725,0.0097,-0.00176667,0.0016,0.0086,-0.0019249
192712,1927,12,0.02609958,-3.13266696,-2.76694218,0.0215,0.0106,-0.0073,-0.0034,0.0317,0.00083333,0.0072,-0.00185,-0.0001,0.0086,-0.0019286
192801,1928,1,0.03062143,-3.11889401,-2.74132392,-0.006,0.044,-0.0132,0.0064,0.0331,0.00215,-0.0036,-0.00103333,-0.001,0.0089,-0.0019324
